googl_iter,tweet_number,tweet date,query,TweetText,sentiment;;;;;
29,2,2023-01-04 10:22:05,GOOGL -is:retweet,Trending Nasdaq 100AAPL 272 TSLA 1054 MSFT 205 PYPL 615 GOOGL 229 AMZN 345 NFLX 110 NVDA 073 CEG 499 AMD 008 ,0;;;;;
29,3,2023-01-04 10:22:03,GOOGL -is:retweet,Trending Samp;P 500AAPL 272 TSLA 1054 CVX 345 XOM 435 MSFT 205 LVS 420 PYPL 615 GOOGL 229 DIS 308 AMZN 345 ,0;;;;
"29,4,2023-01-04 10:19:31,GOOGL -is:retweet,""googl I made 1,400 trading in the first hour of market open today "",0";;;;;
30,1,2023-01-04 10:27:51,GOOGL -is:retweet,Market News GOOGL MSFT NEW ARTICLE  Is MSFT Getting Ready to take on GOOGL with AIpowered Bing? https//tco/o4emKGRMBr News/40211234 Get all the latest Market News related news here  https,0;;;;;
"30,2,2023-01-04 10:27:21,GOOGL -is:retweet,""GOOG GOOGL NEW ARTICLE  Down 41, Alphabet Stock Is a OnceinaDecade Buying Opportunity Right Now https//tco/PPKEc8Ctix Get all the latest GOOG related news here  https//tco/cboaNl2bcm "",0";;;;;
30,3,2023-01-04 10:22:07,GOOGL -is:retweet,Trending Internet SoftwareGOOGL 229 BILI 1946 AMWL 035 BCOR 074 TRUE 040 XP 678 QH 833 ,0;;;;;
30,4,2023-01-04 10:22:05,GOOGL -is:retweet,Trending Nasdaq 100AAPL 272 TSLA 1054 MSFT 205 PYPL 615 GOOGL 229 AMZN 345 NFLX 110 NVDA 073 CEG 499 AMD 008 ,0;;;;;
30,5,2023-01-04 10:22:03,GOOGL -is:retweet,Trending Samp;P 500AAPL 272 TSLA 1054 CVX 345 XOM 435 MSFT 205 LVS 420 PYPL 615 GOOGL 229 DIS 308 AMZN 345 ,0;;;;
"30,6,2023-01-04 10:19:31,GOOGL -is:retweet,""googl I made 1,400 trading in the first hour of market open today "",0";;;;;
31,1,2023-01-04 10:27:51,GOOGL -is:retweet,Market News GOOGL MSFT NEW ARTICLE  Is MSFT Getting Ready to take on GOOGL with AIpowered Bing? https//tco/o4emKGRMBr News/40211234 Get all the latest Market News related news here  https,0;;;;;
"31,2,2023-01-04 10:27:21,GOOGL -is:retweet,""GOOG GOOGL NEW ARTICLE  Down 41, Alphabet Stock Is a OnceinaDecade Buying Opportunity Right Now https//tco/PPKEc8Ctix Get all the latest GOOG related news here  https//tco/cboaNl2bcm "",0";;;;;
31,3,2023-01-04 10:22:07,GOOGL -is:retweet,Trending Internet SoftwareGOOGL 229 BILI 1946 AMWL 035 BCOR 074 TRUE 040 XP 678 QH 833 ,0;;;;;
31,4,2023-01-04 10:22:05,GOOGL -is:retweet,Trending Nasdaq 100AAPL 272 TSLA 1054 MSFT 205 PYPL 615 GOOGL 229 AMZN 345 NFLX 110 NVDA 073 CEG 499 AMD 008 ,0;;;;;
31,5,2023-01-04 10:22:03,GOOGL -is:retweet,Trending Samp;P 500AAPL 272 TSLA 1054 CVX 345 XOM 435 MSFT 205 LVS 420 PYPL 615 GOOGL 229 DIS 308 AMZN 345 ,0;;;;
32,1,2023-01-04 10:27:51,GOOGL -is:retweet,Market News GOOGL MSFT NEW ARTICLE  Is MSFT Getting Ready to take on GOOGL with AIpowered Bing? https//tco/o4emKGRMBr News/40211234 Get all the latest Market News related news here  https,0;;;;;
"32,2,2023-01-04 10:27:21,GOOGL -is:retweet,""GOOG GOOGL NEW ARTICLE  Down 41, Alphabet Stock Is a OnceinaDecade Buying Opportunity Right Now https//tco/PPKEc8Ctix Get all the latest GOOG related news here  https//tco/cboaNl2bcm "",0";;;;;
32,3,2023-01-04 10:22:07,GOOGL -is:retweet,Trending Internet SoftwareGOOGL 229 BILI 1946 AMWL 035 BCOR 074 TRUE 040 XP 678 QH 833 ,0;;;;;
32,4,2023-01-04 10:22:05,GOOGL -is:retweet,Trending Nasdaq 100AAPL 272 TSLA 1054 MSFT 205 PYPL 615 GOOGL 229 AMZN 345 NFLX 110 NVDA 073 CEG 499 AMD 008 ,0;;;;;
32,5,2023-01-04 10:22:03,GOOGL -is:retweet,Trending Samp;P 500AAPL 272 TSLA 1054 CVX 345 XOM 435 MSFT 205 LVS 420 PYPL 615 GOOGL 229 DIS 308 AMZN 345 ,0;;;;
"33,1,2023-01-04 10:32:01,GOOGL -is:retweet,""GOOGL Ayer tocó los 91, los que hayáis seguido la operación y vayáis a CP, cuidado ya aquí, aplicad stop de beneficios 🚨Quizás lo estiren hasta 94 pero "",0";;;;;
33,2,2023-01-04 10:27:51,GOOGL -is:retweet,Market News GOOGL MSFT NEW ARTICLE  Is MSFT Getting Ready to take on GOOGL with AIpowered Bing? https//tco/o4emKGRMBr News/40211234 Get all the latest Market News related news here  https,0;;;;;
"33,3,2023-01-04 10:27:21,GOOGL -is:retweet,""GOOG GOOGL NEW ARTICLE  Down 41, Alphabet Stock Is a OnceinaDecade Buying Opportunity Right Now https//tco/PPKEc8Ctix Get all the latest GOOG related news here  https//tco/cboaNl2bcm "",0";;;;;
34,1,2023-01-04 10:35:48,GOOGL -is:retweet,A _ A _ A _GHAZL1 A _option اذا تبي فرص واختراقات في الاسهم_الامريكيه قناة A  المتخصصة ب السوق_الامريكي و الاوبشنالمتفردة بفكرتها SPY  SPX AMZN AAPL NFLX TSLA AMD  NVDA META  BABA GOOGL SNAP  MSFT  BA   CVX,0;;;;;
34,2,2023-01-04 10:35:25,GOOGL -is:retweet,اذا تبي فرص واختراقات في الاسهم_الامريكيه قناة A  المتخصصة ب السوق_الامريكي و الاوبشنالمتفردة بفكرتها SPY  SPX AMZN AAPL NFLX TSLA AMD  NVDA META  BABA GOOGL SNAP  MSFT  BA   CVX,0;;;;;
"34,3,2023-01-04 10:32:01,GOOGL -is:retweet,""GOOGL Ayer tocó los 91, los que hayáis seguido la operación y vayáis a CP, cuidado ya aquí, aplicad stop de beneficios 🚨Quizás lo estiren hasta 94 pero "",0";;;;;
34,4,2023-01-04 10:27:51,GOOGL -is:retweet,Market News GOOGL MSFT NEW ARTICLE  Is MSFT Getting Ready to take on GOOGL with AIpowered Bing? https//tco/o4emKGRMBr News/40211234 Get all the latest Market News related news here  https,0;;;;;
"34,5,2023-01-04 10:27:21,GOOGL -is:retweet,""GOOG GOOGL NEW ARTICLE  Down 41, Alphabet Stock Is a OnceinaDecade Buying Opportunity Right Now https//tco/PPKEc8Ctix Get all the latest GOOG related news here  https//tco/cboaNl2bcm "",0";;;;;
"35,1,2023-01-04 10:37:27,GOOGL -is:retweet,""A  Are you seriously comapre GOOGL to MSFT? If anything, you should comapr"",0";;;;;
35,2,2023-01-04 10:36:02,GOOGL -is:retweet,,0;;;;;
35,3,2023-01-04 10:35:48,GOOGL -is:retweet,A _ A _ A _GHAZL1 A _option اذا تبي فرص واختراقات في الاسهم_الامريكيه قناة A  المتخصصة ب السوق_الامريكي و الاوبشنالمتفردة بفكرتها SPY  SPX AMZN AAPL NFLX TSLA AMD  NVDA META  BABA GOOGL SNAP  MSFT  BA   CVX,0;;;;;
35,4,2023-01-04 10:35:25,GOOGL -is:retweet,اذا تبي فرص واختراقات في الاسهم_الامريكيه قناة A  المتخصصة ب السوق_الامريكي و الاوبشنالمتفردة بفكرتها SPY  SPX AMZN AAPL NFLX TSLA AMD  NVDA META  BABA GOOGL SNAP  MSFT  BA   CVX,0;;;;;
"35,5,2023-01-04 10:32:01,GOOGL -is:retweet,""GOOGL Ayer tocó los 91, los que hayáis seguido la operación y vayáis a CP, cuidado ya aquí, aplicad stop de beneficios 🚨Quizás lo estiren hasta 94 pero "",0";;;;;
"36,1,2023-01-04 10:37:27,GOOGL -is:retweet,""A  Are you seriously comapre GOOGL to MSFT? If anything, you should comapr"",0";;;;;
36,2,2023-01-04 10:36:02,GOOGL -is:retweet,,0;;;;;
